disease,drug
Lichen Planus,clobetasol/triamcinolone/prednisone/betamethasone/fluocinonide
Lichen Sclerosus,clobetasol/fluocinolone/betamethasone/triamcinolone/prednisone/fluticasone/tretinoin
Lichen Simplex Chronicus,triamcinolone/doxepin/aloe polysaccharides / iodoquinol
Light Anesthesia,midazolam/diazepam/lorazepam/cisatracurium
Light Sedation,diazepam/midazolam/promethazine/chlorpromazine/meperidine/chlordiazepoxide/secobarbital/levorphanol
Linear IgA Disease,dapsone/colchicine/mycophenolate mofetil
Lipodystrophy,tesamorelin/metreleptin
Liposarcoma,eribulin/palbociclib
Liver Fluke (Clornorchis sinensis),albendazole/praziquantel
Local Anesthesia,lidocaine/bupivacaine/mepivacaine/cocaine/articaine / epinephrine/ropivacaine/epinephrine / lidocaine/tetracaine/dibucaine/chloroprocaine
Loeffler's Syndrome (Pulmonary Eosinophilia),prednisone/dexamethasone/triamcinolone/cortisone
Lower Limb Spasticity,onabotulinumtoxinA/abobotulinumtoxinA
Lyme Disease,doxycycline/cefuroxime/ceftriaxone/erythromycin/cefotaxime
"Lyme Disease, Arthritis",hydroxychloroquine/doxycycline/amoxicillin/tetracycline/ceftriaxone/cefotaxime
"Lyme Disease, Carditis",amoxicillin/doxycycline/cefotaxime/ceftriaxone/tetracycline
"Lyme Disease, Erythema Chronicum Migrans",azithromycin/doxycycline/amoxicillin/penicillin v potassium/tetracycline
"Lyme Disease, Neurologic",doxycycline/amoxicillin/tetracycline/ceftriaxone/cefotaxime/penicillin g potassium
Lymphocytic Colitis,loperamide/sulfasalazine/mesalamine/bismuth subsalicylate
Lymphogranuloma Venereum,erythromycin/doxycycline
Lymphoma,prednisone/dexamethasone/doxorubicin/methotrexate/brentuximab/chlorambucil/lenalidomide/ibrutinib/nelarabine/bortezomib/pralatrexate
Macular Degeneration,ranibizumab/aflibercept/bevacizumab/verteporfin/pegaptanib/brolucizumab
Macular Edema,dexamethasone/ranibizumab/aflibercept/fluocinolone
Major Depressive Disorder,bupropion/sertraline/trazodone/venlafaxine/fluoxetine/mirtazapine/duloxetine/escitalopram
Malaria,artemether / lumefantrine/mefloquine/doxycycline/chloroquine/hydroxychloroquine/atovaquone / proguanil/clindamycin/primaquine/atovaquone
Malaria Prevention (Malaria Prophylaxis),doxycycline/atovaquone / proguanil/mefloquine/chloroquine/hydroxychloroquine/primaquine/pyrimethamine/tafenoquine
Malignant Glioma,carmustine/bevacizumab
Mania,divalproex sodium/lithium/risperidone/haloperidol/allopurinol/chlorpromazine/valproic acid
Mantle Cell Lymphoma,ibrutinib/rituximab/lenalidomide/bortezomib/methotrexate/cyclophosphamide/acalabrutinib/cytarabine/doxorubicin/mitoxantrone/vincristine/zanubrutinib
McCune-Albright Syndrome,tamoxifen/anastrozole
Measles Prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine/measles virus vaccine/measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine
Medical Procedures,sodium chloride/formaldehyde
Melanoma,interferon alfa-2b/nivolumab/ipilimumab/pembrolizumab/dacarbazine/aldesleukin/temozolomide/peginterferon alfa-2b/talimogene laherparepvec
"Melanoma, Metastatic",ipilimumab/nivolumab/trametinib/dabrafenib/pembrolizumab/temozolomide/vemurafenib/isotretinoin/dacarbazine/peginterferon alfa-2b/aldesleukin/cobimetinib/talimogene laherparepvec
Melasma,fluocinolone / hydroquinone / tretinoin/tranexamic acid
Melioidosis,sulfamethoxazole / trimethoprim/amoxicillin / clavulanate/doxycycline/ceftazidime
Meningeal Leukemia,methotrexate/cytarabine
Meningitis,ceftriaxone/meropenem/vancomycin/sulfamethoxazole / trimethoprim/metronidazole/cefotaxime/rifampin/chloramphenicol/amikacin/triamcinolone/gentamicin/ampicillin/ceftazidime/cefuroxime/cilastatin / imipenem
"Meningitis, Meningococcal",dexamethasone/minocycline/penicillin g sodium/meningococcal group B vaccine/penicillin g potassium
"Meningitis, Pneumococcal",dexamethasone/penicillin g potassium/penicillin g sodium
"Meningitis, Streptococcus Group B",penicillin g potassium/penicillin g sodium
Meningococcal Meningitis Prophylaxis,ceftriaxone/ciprofloxacin/rifampin/meningococcal conjugate vaccine/meningococcal group B vaccine
Menopausal Disorders,esterified estrogens / methyltestosterone/estradiol / progesterone
Menorrhagia,tranexamic acid/dienogest / estradiol
Menstrual Disorders,tranexamic acid/drospirenone / ethinyl estradiol/ethinyl estradiol / norethindrone
Merkel Cell Carcinoma,avelumab/pembrolizumab
Metabolic Acidosis,sodium bicarbonate/citric acid / potassium citrate / sodium citrate
Methicillin-Resistant Staphylococcus Aureus Infection,vancomycin/linezolid/daptomycin/ofloxacin/dalfopristin / quinupristin
Methotrexate Overdosage,levoleucovorin/leucovorin/glucarpidase
Methotrexate Rescue,leucovorin/levoleucovorin
Microsporidiosis,itraconazole/albendazole
Migraine,sumatriptan/rizatriptan/gabapentin/aspirin / butalbital / caffeine/cyclobenzaprine/diclofenac/naratriptan/almotriptan/zolmitriptan/eletriptan
Migraine Prevention (Migraine Prophylaxis),topiramate/propranolol/amitriptyline/verapamil/nortriptyline/amlodipine/atenolol/baclofen/lisinopril/divalproex sodium/clonazepam/zonisamide/olmesartan/metoprolol
Minor Cuts,pramoxine / zinc acetate/benzethonium chloride
Minor Skin Conditions,vitamin a & d/benzoin
Minor Skin Irritation,vitamin a & d/pramoxine / zinc acetate/camphor / menthol
Mitral Valve Prolapse,atenolol/metoprolol/propranolol/bisoprolol/nebivolol/nadolol/labetalol
Motion Sickness,meclizine/promethazine/scopolamine/dimenhydrinate/diphenhydramine
Mountain Sickness / Altitude Sickness,acetazolamide/dexamethasone
Muckle Wells Syndrome,canakinumab/rilonacept
Mucositis,chlorhexidine/palifermin/saliva substitutes/sodium hyaluronate
Multiple Endocrine Adenomas,omeprazole/lansoprazole
Multiple Myeloma,dexamethasone/thalidomide/cyclophosphamide/lenalidomide/bortezomib/carfilzomib/pomalidomide/daratumumab/melphalan
Multiple Sclerosis,prednisone/glatiramer/dalfampridine/fingolimod/interferon beta-1a/dexamethasone/dimethyl fumarate/natalizumab/teriflunomide
Mumps Prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine/measles virus vaccine / mumps virus vaccine / rubella virus vaccine/mumps virus vaccine
Muscle Pain,ibuprofen/naproxen/acetaminophen/diclofenac/nabumetone
Muscle Spasm (Involuntary Hypertonicity),cyclobenzaprine/tizanidine/baclofen/methocarbamol/diazepam/carisoprodol/metaxalone/chlorzoxazone/orphenadrine/aspirin / caffeine / orphenadrine/aspirin / carisoprodol/aspirin / carisoprodol / codeine
Myasthenia Gravis,pyridostigmine/azathioprine/mycophenolate mofetil/neostigmine/immune globulin intravenous/ephedrine/eculizumab
"Mycobacterium avium-intracellulare, Prophylaxis",azithromycin/ethambutol/clarithromycin/rifabutin
"Mycobacterium avium-intracellulare, Treatment",ethambutol/azithromycin/rifampin/clarithromycin/rifabutin/ciprofloxacin/ofloxacin/streptomycin/amikacin liposome
Mycoplasma Pneumonia,azithromycin/clarithromycin/doxycycline/erythromycin/minocycline
Mycosis Fungoides,prednisone/dexamethasone/methotrexate/mechlorethamine/brentuximab/cyclophosphamide/vinblastine/mogamulizumab
Myelodysplastic Diseases,lenalidomide/imatinib
Myelodysplastic Syndrome,filgrastim/azacitidine/decitabine
Myelofibrosis,ruxolitinib/fedratinib
Myeloproliferative Disorders,ruxolitinib/imatinib
"Myocardial Infarction, Prophylaxis",aspirin/pravastatin/clopidogrel/prasugrel/ticagrelor
Myotonia Congenita,mexiletine/phenytoin/procainamide
Myxedema Coma,levothyroxine/liothyronine
NSAID-Induced Gastric Ulcer,esomeprazole/lansoprazole
NSAID-Induced Ulcer Prophylaxis,misoprostol/lansoprazole/esomeprazole / naproxen/famotidine / ibuprofen
Narcolepsy,modafinil/methylphenidate/dextroamphetamine/amphetamine / dextroamphetamine/armodafinil/amphetamine/desvenlafaxine/sodium oxybate/ephedrine/lisdexamfetamine/solriamfetol
Nasal Carriage of Staphylococcus aureus,mupirocin/rifampin
Nasal Congestion,pseudoephedrine/phenylephrine/oxymetazoline/loratadine / pseudoephedrine/sodium chloride/epinephrine/xylometazoline
Nasal Polyps,fluticasone/mometasone/beclomethasone
Nausea/Vomiting,ondansetron/promethazine/metoclopramide/prochlorperazine/meclizine/lorazepam/hydroxyzine/diphenhydramine/scopolamine/dimenhydrinate
Nausea/Vomiting of Pregnancy,doxylamine / pyridoxine/calcium / folic acid / ginger / pyridoxine
"Nausea/Vomiting, Chemotherapy Induced",ondansetron/dexamethasone/lorazepam/metoclopramide/dronabinol/aprepitant/gabapentin/granisetron/palonosetron/olanzapine/nabilone
"Nausea/Vomiting, Postoperative",ondansetron/metoclopramide/aprepitant/droperidol/granisetron/palonosetron
"Nausea/Vomiting, Radiation Induced",ondansetron/granisetron
Neck Pain,ibuprofen/naproxen/acetaminophen
Necrobiosis Lipoidica Diabeticorum,clobetasol/tretinoin
Nephropathy,lisinopril/methylprednisolone
Nephrotic Syndrome,prednisone/mycophenolate mofetil/prednisolone/cyclophosphamide/cyclosporine/triamcinolone/hydrochlorothiazide / spironolactone/azathioprine/cortisone/tacrolimus
Nerve Agent Poisoning,atropine / pralidoxime/pralidoxime
Neuralgia,baclofen/nortriptyline/pregabalin/methylprednisolone/levetiracetam/citalopram/desvenlafaxine
Neuritis,interferon beta-1a/triamcinolone
Neuroblastoma,vincristine/cisplatin/cyclophosphamide/dinutuximab/doxorubicin
Neuroendocrine Carcinoma,lanreotide/everolimus/lutetium lu 177 dotatate
Neuroleptic Malignant Syndrome,carbidopa / levodopa/carbidopa
Neuropathic Pain,gabapentin/pregabalin/oxcarbazepine/lidocaine/amitriptyline/doxepin
Neurosarcoidosis,prednisone/dexamethasone/infliximab/azathioprine
Neurosyphilis,ceftriaxone/penicillin g sodium/procaine penicillin/penicillin g benzathine/penicillin g potassium
Neutropenia Associated with Chemotherapy,pegfilgrastim/filgrastim/sargramostim/tbo-filgrastim
Neutropenia Associated with Radiation,filgrastim/pegfilgrastim/sargramostim
New Daily Persistent Headache,sumatriptan/levetiracetam
Niacin Deficiency,niacin/niacinamide
Night Terrors,clonazepam/diazepam/imipramine
Nightmares,prazosin/risperidone
Nocturnal Leg Cramps,vitamin e/carisoprodol/verapamil
Non-Hodgkin's Lymphoma,cyclophosphamide/vincristine/rituximab/methotrexate/bendamustine/cytarabine/fludarabine/bleomycin/carmustine/idelalisib/ibritumomab/ibrutinib/mitoxantrone
Non-Small Cell Lung Cancer,cisplatin/erlotinib/pemetrexed/nivolumab/bevacizumab/paclitaxel/gefitinib/crizotinib/methotrexate
Nonalcoholic Fatty Liver Disease,ursodiol/pioglitazone/orlistat/betaine/rosiglitazone
Nongonococcal Urethritis,azithromycin/doxycycline/erythromycin/levofloxacin/clarithromycin/metronidazole
Noninfectious Colitis,dicyclomine/belladonna
Nonketotic Hyperosmolar Syndrome,insulin regular/insulin glulisine/insulin lispro/insulin aspart
Nonobstructive Oliguria,dopamine/furosemide/torsemide/ethacrynic acid
Nonoccupational Exposure,lamivudine / zidovudine/atazanavir/lamivudine/tenofovir/emtricitabine / tenofovir/abacavir / lamivudine/abacavir/zidovudine/efavirenz/lopinavir / ritonavir
Nosocomial Pneumonia,meropenem/levofloxacin/ciprofloxacin/vancomycin/linezolid/piperacillin / tazobactam/ceftazidime/cefepime/amikacin/cilastatin / imipenem
Obesity,phentermine/topiramate/phendimetrazine/bupropion/orlistat/diethylpropion/methamphetamine/lorcaserin/phentermine / topiramate/bupropion / naltrexone
Obstructive Sleep Apnea/Hypopnea Syndrome,modafinil/armodafinil/solriamfetol
Occipital Neuralgia,gabapentin/carbamazepine/citalopram/pregabalin
Occupational Exposure,lamivudine / zidovudine/efavirenz/emtricitabine / tenofovir/raltegravir/zidovudine/tenofovir/abacavir/lamivudine/emtricitabine/abacavir / lamivudine
Ocular Rosacea,doxycycline/minocycline/erythromycin/tetracycline
Oliguria,furosemide/mannitol
"Onchocerciasis, River Blindness",ivermectin/moxidectin
"Onychomycosis, Fingernail",terbinafine/fluconazole/ciclopirox/itraconazole/ketoconazole/griseofulvin
"Onychomycosis, Toenail",terbinafine/ciclopirox/fluconazole/ketoconazole/itraconazole/efinaconazole/griseofulvin/tavaborole
Oophorectomy,estradiol/conjugated estrogens/conjugated estrogens / medroxyprogesterone/estropipate/esterified estrogens/ethinyl estradiol
Ophthalmic Surgery,"ofloxacin/moxifloxacin/ciprofloxacin/levofloxacin/lidocaine/proparacaine/besifloxacin/gatifloxacin/ketorolac / phenylephrine/ophthalmic irrigation, intraocular"
Ophthalmic Viscoelastic Agent,sodium hyaluronate/sodium chondroitin sulfate / sodium hyaluronate
Opiate Dependence,buprenorphine / naloxone/buprenorphine/naltrexone
Opiate Withdrawal,methadone/clonidine/methocarbamol/chlorpromazine/chlordiazepoxide/lofexidine
Opioid-Induced Constipation,naloxegol/lubiprostone/methylnaltrexone/naldemedine
Oral Thrush,nystatin/fluconazole/clotrimazole/miconazole/gentian violet/ketoconazole/itraconazole/amphotericin b/posaconazole
Oral and Dental Conditions,benzocaine/hydrogen peroxide
"Organ Transplant, Rejection Prophylaxis",tacrolimus/mycophenolate mofetil/cyclosporine/azathioprine/sirolimus/everolimus/basiliximab/cyclophosphamide/daclizumab
Organophosphate Poisoning,atropine/atropine / pralidoxime/pralidoxime/tropicamide
Ornithosis,chloramphenicol/tetracycline/doxycycline
Osteoarthritis,meloxicam/diclofenac/naproxen/ibuprofen/celecoxib/chondroitin / glucosamine/etodolac/prednisone/aspirin/nabumetone/duloxetine
Osteolytic Bone Lesions of Multiple Myeloma,zoledronic acid/pamidronate/denosumab
Osteolytic Bone Metastases of Solid Tumors,denosumab/zoledronic acid
Osteomalacia,"ergocalciferol/calcium lactate/calcium phosphate, tribasic"
Osteopenia,calcium carbonate/cholecalciferol / genistein / zinc glycinate
Osteoporosis,alendronate/calcium / vitamin d/calcium carbonate/risedronate/denosumab/ibandronate/hydrochlorothiazide/raloxifene/calcitonin/estradiol/teriparatide/zoledronic acid
Osteosarcoma,methotrexate/doxorubicin/cyclophosphamide/dactinomycin
Otitis Externa,hydrocortisone / neomycin / polymyxin b/ciprofloxacin / dexamethasone/acetic acid/acetic acid / hydrocortisone/ceftazidime/acetic acid / aluminum acetate/colistin sulfate / hydrocortisone / neomycin / thonzonium bromide
Otitis Media,amoxicillin/cefdinir/amoxicillin / clavulanate/azithromycin/cephalexin/ofloxacin/clarithromycin/sulfamethoxazole / trimethoprim/cefuroxime/hydrocortisone / neomycin / polymyxin b/levofloxacin/ciprofloxacin / dexamethasone/erythromycin
Ovarian Cancer,carboplatin/paclitaxel/doxorubicin liposomal/olaparib/doxorubicin/gemcitabine/cisplatin/methotrexate/topotecan/bevacizumab/melphalan
Ovarian Cysts,ethinyl estradiol / levonorgestrel/ethinyl estradiol / norgestimate
Overactive Bladder,darifenacin/onabotulinumtoxinA
Ovulation Induction,clomiphene/chorionic gonadotropin (hcg)/follicle stimulating hormone/menotropins/cetrorelix
Paget's Disease,alendronate/zoledronic acid/etidronate/risedronate/calcitonin/pamidronate
Pain,tramadol/gabapentin/ibuprofen/oxycodone/acetaminophen / hydrocodone/acetaminophen/hydrocodone/naproxen/ketorolac/amitriptyline/acetaminophen / oxycodone
Pain/Fever,acetaminophen / aspirin / caffeine/naproxen / pseudoephedrine/acetaminophen / dextromethorphan / phenylephrine/acetaminophen / dextromethorphan / doxylamine / phenylephrine
Pancreatic Cancer,gemcitabine/fluorouracil/capecitabine/everolimus/paclitaxel protein-bound/pancreatin/methotrexate/irinotecan liposomal/erlotinib/bevacizumab/sunitinib/mitomycin/streptozocin/cetuximab/olaparib
Pancreatitis,pancreatin/albumin human
Panic Disorder,clonazepam/alprazolam/lorazepam/buspirone/sertraline/propranolol/fluoxetine/citalopram/venlafaxine/bupropion/paroxetine
Paracoccidioidomycosis,amphotericin b/itraconazole/ketoconazole
Paranoid Disorder,risperidone/quetiapine/olanzapine/clozapine/ziprasidone
Parkinson's Disease,carbidopa / levodopa/ropinirole/amantadine/pramipexole/selegiline/rasagiline/benztropine/trihexyphenidyl/entacapone/carbidopa / entacapone / levodopa
Parkinsonian Tremor,carbidopa/zonisamide/scopolamine/nadolol/belladonna
Paronychia,nystatin/clotrimazole/mupirocin/econazole/bacitracin / neomycin / polymyxin b/bacitracin / hydrocortisone / neomycin / polymyxin b/gentamicin
Paroxysmal Nocturnal Hemoglobinuria,eculizumab/ravulizumab
Patent Ductus Arteriosus,indomethacin/ibuprofen/alprostadil
Pathological Hypersecretory Conditions,ranitidine/esomeprazole/famotidine
Pelvic Infections,ertapenem/cilastatin / imipenem
Pelvic Inflammatory Disease,doxycycline/metronidazole/clindamycin/azithromycin/ceftriaxone/levofloxacin/cefotaxime/ofloxacin/ceftazidime
Pemphigoid,dapsone/prednisone/prednisolone/doxycycline/azathioprine/mycophenolate mofetil/methotrexate/minocycline/erythromycin/rituximab/tetracycline/cyclophosphamide
Pemphigus,prednisone/dapsone/niacinamide/azathioprine/prednisolone/rituximab/methotrexate/mycophenolate mofetil/dexamethasone/doxycycline/cyclophosphamide/tetracycline/cyclosporine/minocycline
Peptic Ulcer,pantoprazole/famotidine/glycopyrrolate/chlordiazepoxide / clidinium/aluminum hydroxide/methscopolamine/propantheline/belladonna/clidinium
Percutaneous Coronary Intervention,clopidogrel/eptifibatide/bivalirudin/cangrelor
Perimenopausal Symptoms,progesterone/clonidine/estradiol / progesterone/ospemifene
Period Pain (Dysmenorrhea),ibuprofen/naproxen/mefenamic acid/diclofenac/ketoprofen/celecoxib
Periodic Limb Movement Disorder,clonazepam/gabapentin/ropinirole/pramipexole/baclofen/levodopa
Periodontitis,doxycycline/chlorhexidine/minocycline/carbamide peroxide
Perioral Dermatitis,clindamycin/metronidazole/benzoyl peroxide/erythromycin/pimecrolimus/tacrolimus
Peripheral Arterial Disease,clopidogrel/vorapaxar/rivaroxaban
Peripheral Arteriography,iodixanol/iopromide/ioversol
Peripheral Neuropathy,gabapentin/duloxetine/levocarnitine/carbamazepine/pregabalin/capsaicin/phenytoin
Peripheral T-cell Lymphoma,pralatrexate/romidepsin/belinostat
Peritoneal Cancer,bevacizumab/niraparib
Peritonitis,clindamycin/metronidazole/ciprofloxacin/vancomycin/ceftazidime/cefotaxime/ceftriaxone/albumin human/cefazolin/cilastatin / imipenem/gentamicin/piperacillin / tazobactam/cefuroxime
Persistent Depressive Disorder,bupropion/sertraline/duloxetine/citalopram/amitriptyline/fluoxetine/paroxetine/fluvoxamine
Pertussis,azithromycin/erythromycin/clarithromycin
Pertussis Prophylaxis,"clarithromycin/azithromycin/diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria toxoid / pertussis, acellular / tetanus toxoid/diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria and tetanus toxoids / pertussis, acellular/diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Pharyngitis,azithromycin/prednisone/cephalexin/erythromycin/clarithromycin/ampicillin/dicloxacillin
Phenylketonuria,sapropterin/pegvaliase
Pheochromocytoma,phenoxybenzamine/labetalol/propranolol/metyrosine/phentolamine/iobenguane I 131
Pheochromocytoma Diagnosis,phentolamine/clonidine
Physical Urticaria,cetirizine/fexofenadine/loratadine
Pinworm Infection (Enterobius vermicularis),mebendazole/albendazole/pyrantel
Pityriasis rubra pilaris,triamcinolone/acitretin/methotrexate/urea/isotretinoin/lactic acid
Plague,ciprofloxacin/levofloxacin/streptomycin/doxycycline/gentamicin/chloramphenicol/moxifloxacin/ofloxacin
Plague Prophylaxis,levofloxacin/ciprofloxacin/moxifloxacin
Plantar Fasciitis,ibuprofen/acetaminophen
Plantar Fibromatosis,clobetasol/triamcinolone
Plaque Psoriasis,betamethasone/calcipotriene/apremilast/betamethasone / calcipotriene/methylprednisolone/etanercept/adalimumab/secukinumab/dexamethasone/ixekizumab/brodalumab/hydroxyurea
Pleural Effusion,doxycycline/sterile talc
Pneumococcal Disease Prophylaxis,pneumococcal 13-valent vaccine/pneumococcal 23-polyvalent vaccine
Pneumocystis Pneumonia,dapsone/sulfamethoxazole / trimethoprim/atovaquone/pentamidine/clindamycin/trimethoprim/leucovorin/primaquine
Pneumocystis Pneumonia Prophylaxis,dapsone/sulfamethoxazole / trimethoprim/pentamidine/atovaquone/leucovorin/pyrimethamine
Pneumonia,levofloxacin/clarithromycin/ceftriaxone/azithromycin/doxycycline/amoxicillin/ciprofloxacin/clindamycin/cefdinir/amoxicillin / clavulanate/sulfamethoxazole / trimethoprim/cefotaxime/metronidazole/moxifloxacin/cefuroxime
Pneumonia with Cystic Fibrosis,ceftazidime/ciprofloxacin/cilastatin / imipenem/aztreonam/piperacillin
Poliomyelitis Prophylaxis,"poliovirus vaccine, inactivated/diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Polycystic Kidney Disease,enalapril/lisinopril/captopril
Polycystic Ovary Syndrome,metformin/ethinyl estradiol / levonorgestrel/desogestrel / ethinyl estradiol/ethinyl estradiol / norethindrone/drospirenone / ethinyl estradiol/drospirenone / ethinyl estradiol / levomefolate calcium
Polycythemia Vera,hydroxyurea/ruxolitinib
Polymyalgia Rheumatica,prednisone/ibuprofen
Polymyositis/Dermatomyositis,prednisone/immune globulin intravenous/corticotropin
Pork Tapeworm Infection (Taenia solium),praziquantel/paromomycin
Porphyria,chlorpromazine/hemin/givosiran
Portal Hypertension,propranolol/nadolol
Positron Emission Tomography Imaging,florbetapir F 18/gallium ga 68 dotatate/rubidium chloride rb-82/flutemetamol f-18/choline c-11/florbetaben f-18/fluciclovine F 18/gallium ga-68 dotatoc
Post Traumatic Stress Disorder,prazosin/sertraline/lamotrigine/mirtazapine/quetiapine/amitriptyline/paroxetine/venlafaxine/risperidone/desvenlafaxine/aripiprazole/dronabinol/asenapine/fluvoxamine
Postanesthetic Shivering,ondansetron/clonidine
Postherpetic Neuralgia,gabapentin/capsaicin/nortriptyline/pregabalin/gabapentin enacarbil/clonidine/lidocaine
Postmenopausal Symptoms,estradiol/conjugated estrogens/estradiol / norethindrone/gabapentin/conjugated estrogens / medroxyprogesterone/ethinyl estradiol / norethindrone/estropipate
Postoperative Gas Pains,simethicone/vasopressin
Postoperative Increased Intraocular Pressure,nepafenac/apraclonidine
Postoperative Ocular Inflammation,prednisolone/ketorolac/bromfenac/diclofenac/nepafenac/difluprednate/loteprednol/dexamethasone/dexamethasone / tobramycin
Postoperative Pain,ketorolac/fentanyl/bupivacaine
Postpartum Bleeding,methylergonovine/misoprostol/oxytocin/carboprost
Postpartum Breast Pain,testosterone/methyltestosterone
Postpartum Depression,sertraline/citalopram/fluoxetine/venlafaxine/paroxetine/brexanolone
Postural Orthostatic Tachycardia Syndrome,midodrine/fludrocortisone/sodium chloride/clonidine/methylphenidate/bupropion/labetalol/octreotide
Pouchitis,metronidazole/ciprofloxacin
Pre-Exposure Prophylaxis,emtricitabine / tenofovir/emtricitabine / tenofovir alafenamide
Precocious Puberty,tamoxifen/leuprolide/histrelin/triptorelin/nafarelin
Premature Ejaculation,fluoxetine/clomipramine/benzocaine
Premature Labor,progesterone/nifedipine/terbutaline/hydroxyprogesterone
Premature Ventricular Depolarizations,metoprolol/bisoprolol/acebutolol
Premenstrual Dysphoric Disorder,fluoxetine/sertraline/citalopram/escitalopram/paroxetine/bupropion/venlafaxine/drospirenone / ethinyl estradiol/drospirenone / ethinyl estradiol / levomefolate calcium/acetaminophen / pamabrom / pyrilamine/pamabrom
Premenstrual Syndrome,acetaminophen / pamabrom / pyrilamine/ethinyl estradiol / levonorgestrel/acetaminophen / caffeine / pyrilamine/pamabrom/acetaminophen / pamabrom
Prevention of Atherothrombotic Events,ticagrelor/vorapaxar
Prevention of Bladder infection (Cystitis Prophylaxis),nitrofurantoin/methenamine/trimethoprim/sulfamethoxazole / trimethoprim
Prevention of Cardiovascular Disease,atorvastatin/rosuvastatin/simvastatin/telmisartan/aspirin / omeprazole/amlodipine / atorvastatin
Prevention of Hypokalemia,potassium chloride/potassium gluconate/potassium bicarbonate/potassium bicarbonate / potassium chloride
Prevention of Osteoporosis,alendronate/raloxifene/ibandronate/risedronate/zoledronic acid/ethinyl estradiol / norethindrone/bazedoxifene / conjugated estrogens/estradiol / levonorgestrel
Prevention of Perinatal Group B Streptococcal Disease,clindamycin/ampicillin/cefazolin/vancomycin/penicillin g sodium/penicillin g potassium
Prevention of Thromboembolism in Atrial Fibrillation,warfarin/aspirin/apixaban/dabigatran/rivaroxaban/edoxaban
Primary Biliary Cholangitis,ursodiol/colchicine/azathioprine/obeticholic acid
Primary Immunodeficiency Syndrome,immune globulin intravenous/immune globulin subcutaneous/immune globulin intravenous and subcutaneous/hyaluronidase / immune globulin
Primary Nocturnal Enuresis,desmopressin/imipramine/nortriptyline
Primary Ovarian Failure,estradiol/conjugated estrogens/conjugated estrogens / medroxyprogesterone/estropipate/esterified estrogens/ethinyl estradiol
Proctitis,hydrocortisone/doxycycline/ceftriaxone
Production of Miosis,carbachol/pilocarpine/acetylcholine
Prostate Cancer,bicalutamide/leuprolide/abiraterone/enzalutamide/degarelix/goserelin/docetaxel/estradiol/flutamide/triptorelin
Prostatitis,ciprofloxacin/doxycycline/oxybutynin/levofloxacin/sulfamethoxazole / trimethoprim/cephalexin/moxifloxacin/ofloxacin
Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin/warfarin/dipyridamole
"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",warfarin/aspirin
Pruritus,hydroxyzine/diphenhydramine/gabapentin/hydrocortisone/cyproheptadine/doxepin/ondansetron/ammonium lactate/calamine/lidocaine
Pseudohypoparathyroidism,"calcium lactate/calcium phosphate, tribasic"
Pseudomembranous Colitis,metronidazole/vancomycin
Psittacosis,doxycycline/tetracycline/chloramphenicol/minocycline
Psoriasis,clobetasol/methotrexate/triamcinolone/fluocinonide/calcipotriene/mometasone/desonide/prednisone/acitretin/cyclosporine/hydrocortisone/ustekinumab/adalimumab/betamethasone / calcipotriene
Psoriatic Arthritis,methotrexate/prednisone/sulfasalazine/leflunomide/etanercept/infliximab/adalimumab/apremilast/secukinumab/dexamethasone/triamcinolone/certolizumab/ustekinumab
Psychosis,haloperidol/perphenazine/chlorpromazine/fluphenazine/prochlorperazine/thiothixene/iloperidone
Pubertal Gynecomastia,anastrozole/clomiphene
Pudendal Neuralgia,gabapentin/amitriptyline
Pulmonary Edema,furosemide/bumetanide/ethacrynic acid
Pulmonary Embolism,rivaroxaban/apixaban/heparin/fondaparinux/dabigatran/alteplase/edoxaban/urokinase
"Pulmonary Embolism, Recurrent Event",warfarin/rivaroxaban
Pulmonary Fibrosis,mycophenolate mofetil/infliximab
Pulmonary Hypertension,sildenafil/isosorbide dinitrate/tadalafil/ambrisentan/bosentan/treprostinil/macitentan/epoprostenol/iloprost/riociguat
Pupillary Dilation,atropine/phenylephrine/tropicamide/cyclopentolate/epinephrine
Q Fever,doxycycline/minocycline
Rabbit Fever (Tularemia),doxycycline/streptomycin/ciprofloxacin/gentamicin/tobramycin/chloramphenicol/minocycline
